type,start,end,hours
heatwave_daily_event,2018-05-29 00:00:00+00:00,2018-06-04 00:00:00+00:00,168
heatwave_daily_event,2018-07-15 00:00:00+00:00,2018-07-20 00:00:00+00:00,144
heatwave_daily_event,2018-07-22 00:00:00+00:00,2018-07-29 00:00:00+00:00,192
heatwave_daily_event,2019-07-23 00:00:00+00:00,2019-07-29 00:00:00+00:00,168
heatwave_daily_event,2020-06-14 00:00:00+00:00,2020-06-20 00:00:00+00:00,168
heatwave_daily_event,2020-06-23 00:00:00+00:00,2020-06-27 00:00:00+00:00,120
heatwave_daily_event,2021-07-13 00:00:00+00:00,2021-07-17 00:00:00+00:00,120
heatwave_daily_event,2021-07-22 00:00:00+00:00,2021-07-26 00:00:00+00:00,120
